model,train_roc_mean,train_roc_std,val_roc_mean,val_roc_std,train_pr_mean,train_pr_std,val_pr_mean,val_pr_std,roc_gap,pr_gap
LogisticRegression,0.8819819079580036,0.00196405626008572,0.8594485586949532,0.009369393954215785,0.7105953925584683,0.005188988197161886,0.6590848996317901,0.024801006056237897,0.022533349263050395,0.0515104929266782
RandomForest,0.9989271635606822,6.432452998650832e-05,0.9764814179578185,0.0009977825054556892,0.9966457792045844,0.0001632084489106843,0.940358094958345,0.003671850502824263,0.02244574560286372,0.05628768424623942
LightGBM,0.9999454973784341,1.8495548639295793e-05,0.9755349285945487,0.0011610792880959698,0.9998302367277491,5.688544994948962e-05,0.9406691846467921,0.004728067788670417,0.024410568783885367,0.05916105208095701
